Период,Абсолютное,Относительное
04.04.2022-10.04.2022,469.0,"0,000000160307"
11.04.2022-17.04.2022,439.0,"0,000000152905"
18.04.2022-24.04.2022,461.0,"0,000000162351"
25.04.2022-01.05.2022,409.0,"0,000000151866"
02.05.2022-08.05.2022,450.0,"0,000000176942"
09.05.2022-15.05.2022,446.0,"0,000000162708"
16.05.2022-22.05.2022,447.0,"0,000000155042"
23.05.2022-29.05.2022,506.0,"0,000000182503"
30.05.2022-05.06.2022,427.0,"0,000000165057"
06.06.2022-12.06.2022,373.0,"0,000000148297"
13.06.2022-19.06.2022,390.0,"0,000000155097"
20.06.2022-26.06.2022,382.0,"0,000000148161"
27.06.2022-03.07.2022,407.0,"0,000000168047"
04.07.2022-10.07.2022,364.0,"0,000000153584"
11.07.2022-17.07.2022,364.0,"0,000000151207"
18.07.2022-24.07.2022,446.0,"0,000000185769"
25.07.2022-31.07.2022,414.0,"0,000000172162"
01.08.2022-07.08.2022,469.0,"0,000000195282"
08.08.2022-14.08.2022,569.0,"0,000000235255"
15.08.2022-21.08.2022,643.0,"0,000000259888"
22.08.2022-28.08.2022,414.0,"0,000000166560"
29.08.2022-04.09.2022,573.0,"0,000000223039"
05.09.2022-11.09.2022,611.0,"0,000000221858"
12.09.2022-18.09.2022,492.0,"0,000000176534"
19.09.2022-25.09.2022,483.0,"0,000000170655"
26.09.2022-02.10.2022,469.0,"0,000000169309"
03.10.2022-09.10.2022,589.0,"0,000000211880"
10.10.2022-16.10.2022,588.0,"0,000000209356"
17.10.2022-23.10.2022,584.0,"0,000000197199"
24.10.2022-30.10.2022,465.0,"0,000000161341"
31.10.2022-06.11.2022,666.0,"0,000000236178"
07.11.2022-13.11.2022,668.0,"0,000000227868"
14.11.2022-20.11.2022,596.0,"0,000000194436"
21.11.2022-27.11.2022,669.0,"0,000000219398"
28.11.2022-04.12.2022,550.0,"0,000000181239"
05.12.2022-11.12.2022,552.0,"0,000000182227"
12.12.2022-18.12.2022,581.0,"0,000000193594"
19.12.2022-25.12.2022,499.0,"0,000000168688"
26.12.2022-01.01.2023,423.0,"0,000000172122"
02.01.2023-08.01.2023,524.0,"0,000000210591"
09.01.2023-15.01.2023,582.0,"0,000000200674"
16.01.2023-22.01.2023,651.0,"0,000000219391"
23.01.2023-29.01.2023,624.0,"0,000000210364"
30.01.2023-05.02.2023,643.0,"0,000000217963"
06.02.2023-12.02.2023,582.0,"0,000000197281"
13.02.2023-19.02.2023,534.0,"0,000000181627"
20.02.2023-26.02.2023,451.0,"0,000000162026"
27.02.2023-05.03.2023,522.0,"0,000000177504"
06.03.2023-12.03.2023,442.0,"0,000000157780"
13.03.2023-19.03.2023,498.0,"0,000000170759"
20.03.2023-26.03.2023,517.0,"0,000000183509"
27.03.2023-02.04.2023,529.0,"0,000000000000"
