Период,Абсолютное,Относительное
11.04.2022-17.04.2022,5697.0,"0,000001984285"
18.04.2022-24.04.2022,5776.0,"0,000002034137"
25.04.2022-01.05.2022,5743.0,"0,000002132437"
02.05.2022-08.05.2022,5332.0,"0,000002096569"
09.05.2022-15.05.2022,5054.0,"0,000001843786"
16.05.2022-22.05.2022,5458.0,"0,000001893111"
23.05.2022-29.05.2022,5133.0,"0,000001851362"
30.05.2022-05.06.2022,4599.0,"0,000001777743"
06.06.2022-12.06.2022,4357.0,"0,000001732249"
13.06.2022-19.06.2022,4485.0,"0,000001783613"
20.06.2022-26.06.2022,4536.0,"0,000001759313"
27.06.2022-03.07.2022,4115.0,"0,000001699050"
04.07.2022-10.07.2022,10908.0,"0,000004602460"
11.07.2022-17.07.2022,5058.0,"0,000002101110"
18.07.2022-24.07.2022,4547.0,"0,000001893926"
25.07.2022-31.07.2022,4456.0,"0,000001853032"
01.08.2022-07.08.2022,5046.0,"0,000002101046"
08.08.2022-14.08.2022,4833.0,"0,000001998222"
15.08.2022-21.08.2022,5027.0,"0,000002031819"
22.08.2022-28.08.2022,4889.0,"0,000001966939"
29.08.2022-04.09.2022,5004.0,"0,000001947799"
05.09.2022-11.09.2022,5438.0,"0,000001974574"
12.09.2022-18.09.2022,5959.0,"0,000002138143"
19.09.2022-25.09.2022,6686.0,"0,000002362318"
26.09.2022-02.10.2022,6999.0,"0,000002526642"
03.10.2022-09.10.2022,7151.0,"0,000002572416"
10.10.2022-16.10.2022,10068.0,"0,000003584681"
17.10.2022-23.10.2022,7845.0,"0,000002649011"
24.10.2022-30.10.2022,7620.0,"0,000002643904"
31.10.2022-06.11.2022,6878.0,"0,000002439082"
07.11.2022-13.11.2022,6142.0,"0,000002095160"
14.11.2022-20.11.2022,8423.0,"0,000002747874"
21.11.2022-27.11.2022,8831.0,"0,000002896116"
28.11.2022-04.12.2022,9161.0,"0,000003018788"
05.12.2022-11.12.2022,9373.0,"0,000003094225"
12.12.2022-18.12.2022,8940.0,"0,000002978878"
19.12.2022-25.12.2022,8716.0,"0,000002946471"
26.12.2022-01.01.2023,9014.0,"0,000003667858"
02.01.2023-08.01.2023,8473.0,"0,000003405227"
09.01.2023-15.01.2023,8380.0,"0,000002889426"
16.01.2023-22.01.2023,8843.0,"0,000002980139"
23.01.2023-29.01.2023,8627.0,"0,000002908351"
30.01.2023-05.02.2023,8339.0,"0,000002826744"
06.02.2023-12.02.2023,8423.0,"0,000002855156"
13.02.2023-19.02.2023,5861.0,"0,000001993476"
20.02.2023-26.02.2023,5734.0,"0,000002059994"
27.02.2023-05.03.2023,5543.0,"0,000001884880"
06.03.2023-12.03.2023,5576.0,"0,000001990452"
13.03.2023-19.03.2023,5250.0,"0,000001800166"
20.03.2023-26.03.2023,5393.0,"0,000001914247"
27.03.2023-02.04.2023,7732.0,"0,000000000000"
03.04.2023-09.04.2023,0.0,"0,000000000000"
