Период,Абсолютное,Относительное
11.04.2022-17.04.2022,11752.0,"0,000004093262"
18.04.2022-24.04.2022,11007.0,"0,000003876341"
25.04.2022-01.05.2022,9328.0,"0,000003463586"
02.05.2022-08.05.2022,7131.0,"0,000002803944"
09.05.2022-15.05.2022,8705.0,"0,000003175733"
16.05.2022-22.05.2022,10950.0,"0,000003798015"
23.05.2022-29.05.2022,12654.0,"0,000004564023"
30.05.2022-05.06.2022,12856.0,"0,000004969486"
06.06.2022-12.06.2022,14084.0,"0,000005599495"
13.06.2022-19.06.2022,16265.0,"0,000006468331"
20.06.2022-26.06.2022,20317.0,"0,000007880064"
27.06.2022-03.07.2022,26402.0,"0,000010901169"
04.07.2022-10.07.2022,23996.0,"0,000010124737"
11.07.2022-17.07.2022,20472.0,"0,000008504137"
18.07.2022-24.07.2022,18378.0,"0,000007654844"
25.07.2022-31.07.2022,18800.0,"0,000007817999"
01.08.2022-07.08.2022,14994.0,"0,000006243179"
08.08.2022-14.08.2022,15534.0,"0,000006422591"
15.08.2022-21.08.2022,15527.0,"0,000006275721"
22.08.2022-28.08.2022,13971.0,"0,000005620802"
29.08.2022-04.09.2022,17050.0,"0,000006636685"
05.09.2022-11.09.2022,15288.0,"0,000005551176"
12.09.2022-18.09.2022,13721.0,"0,000004923219"
19.09.2022-25.09.2022,17798.0,"0,000006288445"
26.09.2022-02.10.2022,28889.0,"0,000010428942"
03.10.2022-09.10.2022,22684.0,"0,000008160075"
10.10.2022-16.10.2022,31102.0,"0,000011073773"
17.10.2022-23.10.2022,20838.0,"0,000007036340"
24.10.2022-30.10.2022,13078.0,"0,000004537661"
31.10.2022-06.11.2022,11101.0,"0,000003936646"
07.11.2022-13.11.2022,12149.0,"0,000004144269"
14.11.2022-20.11.2022,11951.0,"0,000003898830"
21.11.2022-27.11.2022,11197.0,"0,000003672043"
28.11.2022-04.12.2022,10559.0,"0,000003479465"
05.12.2022-11.12.2022,10269.0,"0,000003390013"
12.12.2022-18.12.2022,9179.0,"0,000003058515"
19.12.2022-25.12.2022,8467.0,"0,000002862296"
26.12.2022-01.01.2023,6521.0,"0,000002653440"
02.01.2023-08.01.2023,5490.0,"0,000002206385"
09.01.2023-15.01.2023,11152.0,"0,000003845212"
16.01.2023-22.01.2023,12646.0,"0,000004261770"
23.01.2023-29.01.2023,12949.0,"0,000004365392"
30.01.2023-05.02.2023,12252.0,"0,000004153168"
06.02.2023-12.02.2023,12078.0,"0,000004094096"
13.02.2023-19.02.2023,11098.0,"0,000003774715"
20.02.2023-26.02.2023,9038.0,"0,000003246987"
27.02.2023-05.03.2023,11338.0,"0,000003855451"
06.03.2023-12.03.2023,13783.0,"0,000004920085"
13.03.2023-19.03.2023,11727.0,"0,000004021056"
20.03.2023-26.03.2023,11836.0,"0,000004201193"
27.03.2023-02.04.2023,15789.0,"0,000000000000"
03.04.2023-09.04.2023,0.0,"0,000000000000"
